cod_ibge;Municipio;Valor;Ano;Tipo;Valor Estado;Indicador 1;Indicador 2;Indicador 3;Indicador 4;Indicador 5;
3500105;Adamantina;0,365;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3500105;Adamantina;0,365;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3500105;Adamantina;0,382;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3500105;Adamantina;0,378;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3500105;Adamantina;0,359;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3500105;Adamantina;0,381;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3500204;Adolfo;0,386;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3500204;Adolfo;0,356;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3500204;Adolfo;0,412;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3500204;Adolfo;0,442;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3500204;Adolfo;0,401;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3500204;Adolfo;0,427;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3500303;Aguaí;0,348;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3500303;Aguaí;0,323;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3500303;Aguaí;0,353;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3500303;Aguaí;0,349;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3500303;Aguaí;0,352;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3500303;Aguaí;0,387;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3500402;Águas da Prata;0,322;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3500402;Águas da Prata;0,292;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3500402;Águas da Prata;0,317;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3500402;Águas da Prata;0,317;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3500402;Águas da Prata;0,306;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3500402;Águas da Prata;0,326;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3500501;Águas de Lindóia;0,396;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3500501;Águas de Lindóia;0,391;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3500501;Águas de Lindóia;0,402;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3500501;Águas de Lindóia;0,379;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3500501;Águas de Lindóia;0,391;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3500501;Águas de Lindóia;0,421;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3500550;Águas de Santa Bárbara;0,393;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3500550;Águas de Santa Bárbara;0,386;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3500550;Águas de Santa Bárbara;0,414;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3500550;Águas de Santa Bárbara;0,429;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3500550;Águas de Santa Bárbara;0,411;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3500550;Águas de Santa Bárbara;0,455;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3500600;Águas de São Pedro;0,535;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3500600;Águas de São Pedro;0,528;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3500600;Águas de São Pedro;0,552;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3500600;Águas de São Pedro;0,543;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3500600;Águas de São Pedro;0,522;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3500600;Águas de São Pedro;0,539;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3500709;Agudos;0,407;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3500709;Agudos;0,402;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3500709;Agudos;0,405;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3500709;Agudos;0,402;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3500709;Agudos;0,396;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3500709;Agudos;0,424;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3500758;Alambari;0,302;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3500758;Alambari;0,296;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3500758;Alambari;0,329;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3500758;Alambari;0,319;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3500758;Alambari;0,318;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3500758;Alambari;0,333;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3500808;Alfredo Marcondes;0,287;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3500808;Alfredo Marcondes;0,265;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3500808;Alfredo Marcondes;0,302;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3500808;Alfredo Marcondes;0,315;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3500808;Alfredo Marcondes;0,292;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3500808;Alfredo Marcondes;0,32;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3500907;Altair;0,388;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3500907;Altair;0,414;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3500907;Altair;0,399;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3500907;Altair;0,399;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3500907;Altair;0,407;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3500907;Altair;0,469;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3501004;Altinópolis;0,365;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3501004;Altinópolis;0,36;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3501004;Altinópolis;0,381;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3501004;Altinópolis;0,386;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3501004;Altinópolis;0,367;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3501004;Altinópolis;0,386;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3501103;Alto Alegre;0,43;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3501103;Alto Alegre;0,397;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3501103;Alto Alegre;0,462;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3501103;Alto Alegre;0,332;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3501103;Alto Alegre;0,317;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3501103;Alto Alegre;0,341;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3501152;Alumínio;0,512;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3501152;Alumínio;0,492;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3501152;Alumínio;0,5;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3501152;Alumínio;0,499;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3501152;Alumínio;0,527;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3501152;Alumínio;0,535;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3501202;Álvares Florence;0,303;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3501202;Álvares Florence;0,298;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3501202;Álvares Florence;0,339;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3501202;Álvares Florence;0,346;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3501202;Álvares Florence;0,326;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3501202;Álvares Florence;0,365;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3501301;Álvares Machado;0,3;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3501301;Álvares Machado;0,297;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3501301;Álvares Machado;0,318;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3501301;Álvares Machado;0,318;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3501301;Álvares Machado;0,309;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3501301;Álvares Machado;0,324;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3501400;Álvaro de Carvalho;0,247;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3501400;Álvaro de Carvalho;0,23;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3501400;Álvaro de Carvalho;0,245;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3501400;Álvaro de Carvalho;0,229;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3501400;Álvaro de Carvalho;0,211;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3501400;Álvaro de Carvalho;0,266;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3501509;Alvinlândia;0,285;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3501509;Alvinlândia;0,279;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3501509;Alvinlândia;0,295;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3501509;Alvinlândia;0,28;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3501509;Alvinlândia;0,285;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3501509;Alvinlândia;0,315;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3501608;Americana;0,449;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3501608;Americana;0,428;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3501608;Americana;0,437;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3501608;Americana;0,426;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3501608;Americana;0,434;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3501608;Americana;0,458;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3501707;Américo Brasiliense;0,376;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3501707;Américo Brasiliense;0,374;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3501707;Américo Brasiliense;0,38;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3501707;Américo Brasiliense;0,369;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3501707;Américo Brasiliense;0,385;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3501707;Américo Brasiliense;0,395;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3501806;Américo de Campos;0,267;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3501806;Américo de Campos;0,265;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3501806;Américo de Campos;0,299;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3501806;Américo de Campos;0,298;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3501806;Américo de Campos;0,287;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3501806;Américo de Campos;0,326;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3501905;Amparo;0,444;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3501905;Amparo;0,426;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3501905;Amparo;0,447;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3501905;Amparo;0,439;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3501905;Amparo;0,438;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3501905;Amparo;0,461;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3502002;Analândia;0,388;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3502002;Analândia;0,37;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3502002;Analândia;0,409;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3502002;Analândia;0,41;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3502002;Analândia;0,391;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3502002;Analândia;0,436;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3502101;Andradina;0,392;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3502101;Andradina;0,39;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3502101;Andradina;0,39;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3502101;Andradina;0,407;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3502101;Andradina;0,391;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3502101;Andradina;0,442;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3502200;Angatuba;0,351;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3502200;Angatuba;0,37;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3502200;Angatuba;0,4;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3502200;Angatuba;0,406;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3502200;Angatuba;0,402;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3502200;Angatuba;0,418;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3502309;Anhembi;0,278;2014;Riqueza;0,457;;;;;Indicador Riqueza;
