cod_ibge;Municipio;Ano;Riqueza [índice 0-1];Longevidade [índice 0-1];Escolaridade [índice 0-1];IPDM [índice 0-1];Taxas de mortalidade  60 a 69 anos (por mil hab.);Taxas de distorção idade-série no Ensino Médio (%);Produto Interno Bruto per capita (R$ de 2024)
3506359;Bertioga;2014;0,575;0,609;0,363;0,515666667;17,69155686;17,26543425;46417,7447
3506359;Bertioga;2016;0,559;0,639;0,44;0,546;16,2351007;16,45526226;45937,18017
3506359;Bertioga;2018;0,548;0,653;0,483;0,561333333;17,12161237;16,79529585;46417,7447
3506359;Bertioga;2020;0,553;0,672;0,551;0,592;22,19854378;15,07601351;41444,8355
3506359;Bertioga;2022;0,519;0,633;0,508;0,553333333;25,42854822;13,3;34785,52129
3506359;Bertioga;2024;0,552;0,587;0,519;0,552666667;15,04525565;12,5;42939,19873
3513504;Cubatão;2014;0,524;0,577;0,39;0,497;20,03454231;26,80225168;171242,4794
3513504;Cubatão;2016;0,517;0,641;0,448;0,535333333;17,10466227;25,87324451;249163,0965
3513504;Cubatão;2018;0,498;0,667;0,501;0,555333333;16,74312826;22,52768232;171242,4794
3513504;Cubatão;2020;0,483;0,676;0,55;0,569666667;19,53371141;17,29559748;169725,1933
3513504;Cubatão;2022;0,521;0,669;0,493;0,561;21,09704641;14,61;250463,458
3513504;Cubatão;2024;0,496;0,623;0,528;0,549;18,08811986;12,2;270118,7332
3518701;Guarujá;2014;0,464;0,593;0,334;0,463666667;19,26348719;19,17363715;45621,80634
3518701;Guarujá;2016;0,437;0,633;0,411;0,493666667;18,11164365;17,63846368;45570,60383
3518701;Guarujá;2018;0,435;0,623;0,472;0,51;17,63756243;17,43022643;45621,80634
3518701;Guarujá;2020;0,426;0,617;0,495;0,512666667;18,86429523;15,63723745;40321,08939
3518701;Guarujá;2022;0,435;0,616;0,482;0,511;22,08644833;13,6;39134,75621
3518701;Guarujá;2024;0,399;0,631;0,5;0,51;18,58902576;11,4;43481,55417
3522109;Itanhaém;2014;0,389;0,621;0,474;0,494666667;19,23155278;18,20448878;32290,13625
3522109;Itanhaém;2016;0,371;0,675;0,531;0,525666667;22,02693449;15,91192356;30050,07305
3522109;Itanhaém;2018;0,407;0,673;0,572;0,550666667;23,76126126;15,926255;32290,13625
3522109;Itanhaém;2020;0,401;0,621;0,576;0,532666667;23,98186737;15,7353285;30616,06891
3522109;Itanhaém;2022;0,374;0,611;0,504;0,496333333;28,20595739;14,49;22776,60042
3522109;Itanhaém;2024;0,421;0,727;0,538;0,562;16,38529166;13;27386,64446
3531100;Mongaguá;2014;0,366;0,612;0,395;0,457666667;20,31331984;18,26368876;32271,36023
3531100;Mongaguá;2016;0,348;0,604;0,462;0,471333333;23,05596311;16,49521107;31360,11744
3531100;Mongaguá;2018;0,38;0,618;0,488;0,495333333;24,27251414;19,72424358;32271,36023
3531100;Mongaguá;2020;0,378;0,62;0,505;0,501;26,28218055;17,35319895;30726,6638
3531100;Mongaguá;2022;0,351;0,56;0,416;0,442333333;32,99676632;18,1;22112,67379
3531100;Mongaguá;2024;0,321;0,602;0,439;0,454;16,62262055;13,9;25734,21357
3537602;Peruíbe;2014;0,379;0,602;0,38;0,453666667;21,03742778;18,79453682;38725,93634
3537602;Peruíbe;2016;0,354;0,672;0,47;0,498666667;19,83069911;16,52200868;33010,29115
3537602;Peruíbe;2018;0,389;0,667;0,462;0,506;20,40219806;16,992;38725,93634
3537602;Peruíbe;2020;0,385;0,638;0,499;0,507333333;22,33264793;14,04985432;34082,95784
3537602;Peruíbe;2022;0,38;0,62;0,483;0,494333333;27,37113691;11,69;35474,46325
3537602;Peruíbe;2024;0,406;0,65;0,497;0,517666667;15,9206276;10,3;36652,57464
3541000;Praia Grande;2014;0,431;0,648;0,479;0,519333333;19,54887218;19,83660965;37960,58111
3541000;Praia Grande;2016;0,409;0,649;0,519;0,525666667;19,74860296;18,97197039;36833,89162
3541000;Praia Grande;2018;0,432;0,665;0,597;0,564666667;20,19579654;18,1954262;37960,58111
3541000;Praia Grande;2020;0,424;0,658;0,602;0,561333333;22,76321589;16,76523933;35258,11086
3541000;Praia Grande;2022;0,397;0,646;0,549;0,530666667;25,48291233;16;27991,20899
3541000;Praia Grande;2024;0,365;0,69;0,571;0,542;15,29262356;12,9;33755,82207
3548500;Santos;2014;0,534;0,681;0,473;0,562666667;15,57261127;14,25026123;86962,77184
3548500;Santos;2016;0,505;0,712;0,555;0,590666667;14,74939346;15,09933775;91183,29729
3548500;Santos;2018;0,521;0,727;0,558;0,602;14,64636592;15,26593585;86962,77184
3548500;Santos;2020;0,502;0,746;0,564;0,604;15,21493173;12,46404602;70896,67584
3548500;Santos;2022;0,499;0,741;0,555;0,598333333;17,40747454;11,5;64470,759
3548500;Santos;2024;0,445;0,756;0,547;0,582666667;13,9425099;8,2;79826,22593
3551009;São Vicente;2014;0,38;0,625;0,371;0,458666667;18,63834965;17,04226482;25500,12955
3551009;São Vicente;2016;0,357;0,66;0,411;0,476;18,02130011;19,00738237;25592,35499
3551009;São Vicente;2018;0,363;0,663;0,461;0,495666667;18,62700389;21,96856616;25500,12955
3551009;São Vicente;2020;0,354;0,67;0,462;0,495333333;20,39731363;19,96722207;22037,00544
3551009;São Vicente;2022;0,363;0,638;0,414;0,471666667;21,84788157;20;20064,26115
3551009;São Vicente;2024;0,333;0,65;0,457;0,48;17,90144082;15,7;24344,41356
